Time,AirFlow
0.8,0.35806013159587785
1.6,0.42529525103817567
2.4,0.20345591665598697
3.2,0.3036889529061144
4,0.3048146130302215
4.8,1.4810271982143766
6,3.2522685708182624
7,2.26245578699202
7.8,2.1325522283951615
8.6,2.1342464721145338
9.4,2.012275500625886
10.2,2.0488839693494048
11.0,2.0451829966946016
11.8,1.8527883238378402
12.6,1.8671436535316852
13.4,1.9464270745617211
14.2,1.9164451099962854
15.0,1.761483863510936
15.8,1.847676481423046
17,1.791303537318929
17.8,1.6685707498636357
18.6,1.5883956393170604
19.4,1.728434615760761
20.2,1.520075298388516
21.0,1.6775517475220014
22,1.5403991518603901
22.8,1.6922319456950452
23.6,1.5456885844361494
24.4,1.7009279299442306
25.2,1.8068131744598024
26.0,1.728429001627516
27,1.8262324392384728
27.8,1.7604879336834356
28.6,1.7683192534342846
29.4,1.7470563427930548
30.2,1.6415808968564658
31.0,1.521824713250607
31.8,1.598136620928401
32.6,1.7422604094036134
33.4,1.4872392508198682
34.2,1.491618242135739
35,1.6660980097260905
35.8,1.5692951966339608
36.6,1.507340160137551
37.4,1.4846621750556226
38.2,1.511121190919997
39.0,1.6393657793506278
39.8,1.5371843550428497
40.6,1.747270727195322
41.4,1.7206956267053886
42.2,1.5764469232758278
43.0,1.589005008536618
43.8,1.5083852955448755
44.6,1.4983550328046347
45.4,1.6625652637636104
46.2,1.6625628737192089
47.0,1.5033436980258714
47.8,1.4649849138294786
48.6,1.4570781225459746
49.4,1.6110329693161303
50,1.5583781696968857
50.8,1.5347719465662928
51.6,1.4269160633869984
52.4,1.3634675536322207
53.2,1.247782243213491
54.0,1.1508299887852331
55,1.0337921118620153
55.8,0.9421353241487682
56.6,0.9023399412742608
57.4,0.819907281612626
58.2,0.8118663135554302
59.0,0.6685463104701685
60,0.6609797652210682
60.8,0.668145972945132
61.6,0.6169086273647697
62.4,0.681499168670733
63.2,0.48193174229755686
64.0,0.49918990070062896
64.8,0.5455569349376095
65.6,0.43499112528724315
66.4,0.38613059838242964
67.2,0.3553887777728068
68.0,0.3250854809604834
68.8,0.31711131164402767
70,0.3061842526070548
70.8,0.20609003446804852
71.6,0.312354419478
72.4,0.1847754270629977
73.2,0.32407961050587936
74.0,0.3363980481794071
74.8,0.27888182775800374
75.6,0.30004657374403443
76.4,0.2036847211167398
77.2,0.246000058328075
78.0,0.2989067876648118
78.8,0.20305308333912597
79.6,0.37134838496130224
80.4,0.272508171439382
81.2,0.42779184009115645
82.0,0.25865848319548923
82.8,0.18199421090825849
83.6,0.31416644814411177
84.4,0.25027871922027944
85.2,0.32939196640029555
86.0,0.20208944717711758
86.8,0.16163028254782577
87.6,0.3588746163734895
88.4,0.17394965619592806
89.2,0.3483180526049539
90.0,0.21608715302573378
90.8,0.15520929940116016
91.6,0.22843813852551775
92.4,0.4308173226318952
93.2,0.21581505023185799
94.0,0.3647287623990939
94.8,0.35760544531182614
95.6,0.32049467785809593
96.4,0.4095634710575359
97.2,0.25366389570461567
98.0,0.32715795416175175
98.8,0.43280998915821867
99.6,0.38152369938213665
100,0.15277077121440674
100.8,0.3865861999446788
101.6,0.1841381475774443
102.4,0.22996667596824158
103.2,0.27929321488582465
104,0.18865271873920697
104.8,1.4816301856729557
106,3.259887015686268
107,2.091622734340841
107.8,2.1916005978750164
108.6,2.1349460165661203
109.4,2.1644260281862406
110.2,1.9761949024509102
111.0,1.9749479021479133
111.8,1.9009848925924018
112.6,2.019338966810711
113.4,1.8996602014737514
114.2,1.796838589382699
115.0,1.7932175316695806
115.8,1.6542946209725669
117,1.5966051073173997
117.8,1.6732801893150553
118.6,1.7845730976245366
119.4,1.7398336347379322
120.2,1.5537640344962456
121.0,1.644511751041739
122,1.6198348762327093
122.8,1.685820844773042
123.6,1.7167521254005225
124.4,1.7591320069821514
125.2,1.5321383235104524
126.0,1.683008032533661
127,1.864776326187609
127.8,1.6196665535237331
128.6,1.6073612422473373
129.4,1.6432300507232487
130.2,1.5681719028592462
131.0,1.7426361825700216
131.8,1.6311293158141171
132.6,1.6676207046148113
133.4,1.6120484082815414
134.2,1.4926464630560266
135,1.408406324197737
135.8,1.6452522230798636
136.6,1.532552616401145
137.4,1.6510557404120603
138.2,1.6614828057151887
139.0,1.7142624871968102
139.8,1.752814118375204
140.6,1.7570459864274213
141.4,1.455614644485351
142.2,1.5561724283056897
143.0,1.5075806692354665
143.8,1.719372580698146
144.6,1.5123559385542187
145.4,1.4866921493548093
146.2,1.5569994877847118
147.0,1.5256569394518527
147.8,1.5389729778578618
148.6,1.6480735104231474
149.4,1.7133532894453907
150,1.7759538202097924
150.8,1.515810001718687
151.6,1.3719084535495654
152.4,1.3491979317718519
153.2,1.2228668709860149
154.0,1.0978932570169904
155,0.905359467469306
155.8,0.9891824693053564
156.6,0.8826151334345459
157.4,0.8079258906889022
158.2,0.8277128912154331
159.0,0.6341511762730974
160,0.8318945002492801
160.8,0.6543288677514612
161.6,0.6323068125407463
162.4,0.5213547657418494
163.2,0.6440620418408566
164.0,0.42503401646108974
164.8,0.5984960106096101
165.6,0.5405474249226482
166.4,0.5206484433604452
167.2,0.3136566013299378
168.0,0.40170425786763936
168.8,0.43798482832884056
170,0.4208162624989925
170.8,0.3411630672549644
171.6,0.40356400559216976
172.4,0.3734443275743877
173.2,0.44787350981008245
174.0,0.296572679938549
174.8,0.39149190208456885
175.6,0.25833657164105894
176.4,0.2850868400338678
177.2,0.2637239841772553
178.0,0.373778848049638
178.8,0.2757832850052309
179.6,0.44640130085026203
180.4,0.37465778869306476
181.2,0.16798161740433942
182.0,0.40093581391340405
182.8,0.20745777424427167
183.6,0.3271825255655322
