Time,Pressure
0.8,0.09939813801856372
1.6,0.09913551842779231
2.4,0.09678465326727223
3.2,0.10008868700159032
4,0.10598344044425498
4.8,0.6985843151036873
6,1.5967952295983705
6.8,1.5984910334371134
7.6,1.5984928943043748
8.4,1.6002574989096692
9.2,1.5945713449522447
10.0,1.600905522492088
10.8,1.6040094801028975
11.6,1.6062808229906986
12,1.5974182101505672
13,0.8224794332365052
13.8,0.8171137568308826
14.6,0.820697051804911
15.4,0.8103047442723996
16.2,0.8134961754694511
17.0,0.8068783724358373
17.8,0.8100239032878561
18.6,0.8130342635777498
19.4,0.8103433036745084
20.2,0.808150130071616
21.0,0.8068883576211411
22,0.7980712704607504
22.8,0.800887170547941
23.6,0.8019791194729954
24.4,0.8112267615765957
25.2,0.8186982552259873
26.0,0.810507889669542
27,0.8117803652715285
27.8,0.8163251490100579
28.6,0.8196293339923522
29.4,0.8169748518123932
30.2,0.8099634869616623
31.0,0.8113932306140517
31.8,0.8076877255148617
32.6,0.8007673961003923
33.4,0.7989751404993146
34.2,0.7971980508934032
35,0.8033005617825345
35.8,0.8027287880708837
36.6,0.8011037806089126
37.4,0.8010886116090052
38.2,0.8025473724272748
39.0,0.8045701304376124
39.8,0.7940031175885327
40.6,0.7947421709613008
41.4,0.7953520257107141
42.2,0.7999179089417102
43.0,0.8006553002404915
43.8,0.803214324472208
44.6,0.8040327769070068
45.4,0.7990138507326034
46.2,0.8053378318887571
47.0,0.7983721907371334
47.8,0.7942776752368941
48.6,0.8002336899967716
49.4,0.8008430805292026
51,0.5055249714276479
51.8,0.5012594331267073
52.6,0.4975427614063019
53.4,0.497081252316095
54.2,0.4983682427063357
55.0,0.49530059697981005
55.8,0.49810104152117585
56.6,0.5059002634931375
57.4,0.5016715506486366
58.2,0.5044941216192995
59.0,0.5037630400895544
60,0.5001978402661993
60.8,0.5026311177136198
61.6,0.5039000275808657
62.4,0.5012957428755116
63.2,0.49792042396582314
64.0,0.4960631504497329
64.8,0.497986637761421
65.6,0.49775849378144366
66.4,0.4984226999573677
67.2,0.5036549145675073
68.0,0.5005931458492732
69,0.4947066880460078
70,0.09323180998135275
70.8,0.09988857483792556
71.6,0.10477945875690235
72.4,0.10357777132010812
73.2,0.103769916744314
74.0,0.09383653397286626
74.8,0.09845264628407555
75.6,0.09615231003848308
76.4,0.10213988719987105
77.2,0.10604614670174523
78.0,0.1017852741247518
78.8,0.09640976141785995
79.6,0.10201424704609881
80.4,0.10318136594412108
81.2,0.10004771580323893
82.0,0.1024244919395683
82.8,0.0983965381024879
83.6,0.09444549199498475
84.4,0.10117791982731403
85.2,0.1050283128103824
86.0,0.09671660772484356
86.8,0.09440024141298936
87.6,0.09963664803368968
88.4,0.09994868367817197
89.2,0.1059199312344671
90.0,0.10420478994659305
90.8,0.09894253419661035
91.6,0.09746603346790018
92.4,0.0938266215118838
93.2,0.09991570634665498
94.0,0.10033877066824877
94.8,0.09722140713534173
95.6,0.0966107171479862
96.4,0.09767177407537524
97.2,0.10509398190205378
98.0,0.09943427712665366
98.8,0.09883603978713286
99.6,0.10258455006286092
100,0.1040941257377432
