Timestamp,Sensor ID,Airflow Reading (CFM),Operational Status,Last Maintenance Date,Ambient Temperature,Ambient Pressure,Sensor Model,Last Calibration Date,Error Code
2023-01-01 00:00:00,AF101,304.8326763250508,Working,2022-08-12 00:00:00,18.03498535896393,1012.8032960431042,AF-X9,2022-08-29 00:00:00,NA
2023-01-01 01:00:00,AF101,334.39783373315936,Working,2022-11-10 01:00:00,21.592675834931367,1011.4286499081289,AF-X9,2022-08-01 01:00:00,NA
2023-01-01 02:00:00,AF101,276.66702208089623,Needs Maintenance,2022-08-07 02:00:00,23.016603837094195,1013.1895109611854,AF-X9,2022-09-22 02:00:00,NA
2023-01-01 03:00:00,AF101,276.10082887989705,Working,2022-11-24 03:00:00,24.36341561730361,1017.4949087201277,AF-X9,2022-07-14 03:00:00,NA
2023-01-01 04:00:00,AF101,328.9344580707517,Working,2022-09-15 04:00:00,20.065667254240587,1013.5719040300422,AF-X9,2022-11-10 04:00:00,NA
2023-01-01 05:00:00,AF101,338.82563891894756,Working,2022-08-06 05:00:00,20.45773612393479,1016.0600786896426,AF-X9,2022-08-04 05:00:00,NA
2023-01-01 06:00:00,AF101,301.93979146919423,Working,2022-11-12 06:00:00,22.92348373386886,1011.5476979806995,AF-X9,2022-10-09 06:00:00,NA
2023-01-01 07:00:00,AF101,288.85025188650974,Working,2022-10-22 07:00:00,19.02306708392392,1018.9880191699348,AF-X9,2022-11-06 07:00:00,NA
2023-01-01 08:00:00,AF101,280.63031188423224,Needs Maintenance,2022-10-20 08:00:00,22.890613170018284,1012.5893012054512,AF-X9,2022-07-29 08:00:00,NA
2023-01-01 09:00:00,AF101,331.23474539007253,Working,2022-12-02 09:00:00,21.30894717042168,1014.803915531822,AF-X9,2022-09-10 09:00:00,NA
2023-01-01 10:00:00,AF101,328.9880075255666,Working,2022-11-15 10:00:00,21.43740849168094,1011.7565928120788,AF-X9,2022-07-06 10:00:00,NA
2023-01-01 11:00:00,AF101,221.94797644294667,Working,2022-07-20 11:00:00,20.474284358519558,1018.8426239035502,AF-X9,2022-08-25 11:00:00,NA
